AUTHOR	COAUTHORS
A. Konnopka	{'H.-H. K\xc3\xb6nig': 1, 'M. B\xc3\xb6demann': 1}
A. Konrad	{'M. E. Langer': 1, 'R. Steurer': 1, 'Andr\xc3\xa9 Martinuzzi': 1}
A. Kontos	{'Edward Shils': 1}
A. KÖVES	{}
A. L. Bowley	{'Andr\xc3\xa9 Liesse': 1}
A. L. Frederick	{'C. Ford Runge': 1, 'Willard W. Cochrane': 1}
A. L. Jolly	{}
A. L. Merson	{'Arthur J. Willis': 1, 'Margaret J. Hoad': 1}
A. L. Müller	{'Norman Levy': 1}
A. L. Nagar	{'R. A. L. Carter': 1}
A. L. Stein	{}
A. L. Stoecker	{'A. Seidmann': 1, 'G. S. Lloyd': 1}
A. LOPES DE SA	{}
A. LORIA	{'Karl Gr\xc3\xbcnberg': 1}
A. Lans Bovenberg	{'Ruud A. de Mooij': 1}
A. M. Bourn	{}
A. M. Cartter	{}
A. M. Geoffrion	{'A. Feinberg': 1, 'J. S. Dyer': 1}
A. M. McGahan	{'Charles Baden-Fuller': 1}
A. M. Sinclair	{'David Alexander': 1}
A. MADARÁSZ	{'W. FELLNER': 1}
A. MacBean	{}
A. Mitchell Polinsky	{}
A. Morgner	{'Rudolf Heberle': 1}
A. N. Halter	{'H. O. Carter': 1, 'J. G. Hocking': 1}
A. N. M. Waheeduzzaman	{'Elwin Myers': 1}
A. NAGY	{}
A. NYILAS	{'J. HO\xc3\x93S': 1}
A. Nebauer	{'A. Schieckel': 1}
A. Netterman	{'I. Adiri': 1}
A. Nove	{'E. Ames': 1}
A. Occhiuto	{'E. Tocilj': 1}
A. Omrana	{}
A. P. Amiry	{'John Birkle': 1, 'Ronald Yearsley': 1}
A. P. Andersen	{'H. Nelson': 1}
A. P. Barten	{}
A. P. Harvey	{}
A. P. Laurie	{}
A. P. M. Purdon	{'Derek F. Lawden': 1}
A. P. Newton	{'J. Ewing': 1}
A. P. Thirlwall	{}
A. P. Winston	{'Von W. Kulemann': 1, 'Bernhard E. Fernow': 1}
A. Pearce Higgins	{}
A. Plate	{}
A. R. Bridbury	{'G. L. Harriss': 1}
A. R. Kemal	{}
A. R. Prest	{'D. N. Chester': 1}
A. R. Seder	{}
A. RAUF BUTT	{}
A. Ramaiya	{}
A. Rashad Abdel-Khalik	{}
A. Remmele	{}
A. Robert Thoeny	{}
A. Rupert Hall	{'Michael Hunter': 1}
A. S. Burack	{}
A. S. Dewing	{}
A. S. Hurn	{'Robert E. Wright': 1}
A. Salim	{'Raja J. Chelliah': 1}
A. Salton	{}
